2025新电影,#genre#
里普哈根(荷兰战争片),https://vip1.lz-cdn1.com/20221015/17355_d4d2c372/index.m3u8
五台山儿女英雄传(大陆战争片),https://vip.lz-cdn3.com/20221013/14770_54f44700/index.m3u8
胡奇才决战新开岭(大陆战争片),https://vip.lz-cdn3.com/20221011/14717_c132badd/index.m3u8
布里斯堡(美国战争片),https://vip.lz-cdn3.com/20221010/14651_0dd4697d/index.m3u8
代号55(克罗地亚战争片),https://vip.lz-cdn3.com/20221010/14650_fc022ac7/index.m3u8
绝地营救(大陆战争片),https://vip.lz-cdn3.com/20221007/14529_5b082dfc/index.m3u8
柏林孤影(德国/法国/英国战争片),https://vip.lz-cdn3.com/20221004/14507_c70b1e9d/index.m3u8
特级英雄黄继光(大陆战争片),https://vip1.lz-cdn1.com/20221002/16965_333905a3/index.m3u8
有史以来最棒的啤酒运送(美国战争片),https://vip.lz-cdn3.com/20220930/14370_d347edfd/index.m3u8
信使2019(波兰战争片),https://vip.lz-cdn3.com/20220928/14256_87e86502/index.m3u8
遥远的桥【英语】(美国战争片),https://vip.lz-cdn3.com/20220926/14170_6fa48273/index.m3u8
遥远的桥【国语】(美国战争片),https://vip.lz-cdn3.com/20220926/14169_4e6f1d29/index.m3u8
对峙2014(印度战争片),https://vip.lz-cdn3.com/20220926/14146_82c3b79e/index.m3u8
天空之眼(英国战争片),https://vip.lz-cdn3.com/20220924/14081_489a5461/index.m3u8
友军倒下(美国战争片),https://vip.lz-cdn3.com/20220924/14047_119bc6cf/index.m3u8
喷火战斗机在柏林(英国战争片),https://vip1.lz-cdn10.com/20220923/2544_13c84156/index.m3u8
凯萨里(印度战争片),https://vip1.lz-cdn8.com/20220921/27275_8ba2091f/index.m3u8
危机：龙潭之战(澳大利亚战争片),https://vip.lz-cdn3.com/20220923/14009_9b4c1427/index.m3u8
关原之战2017(日本战争片),https://vip.lz-cdn3.com/20220922/13966_8576d54f/index.m3u8
索比堡(俄罗斯战争片),https://vip.lz-cdn3.com/20220921/13946_12b1c36e/index.m3u8
自己去看1985(苏联战争片),https://vip.lz-cdn3.com/20220921/13926_7e5776f3/index.m3u8
印第安纳波利斯号：勇者无惧(美国战争片),https://vip.lz-cdn3.com/20220919/13836_f5c62fca/index.m3u8
英雄时代2011(英国战争片),https://vip.lz-cdn3.com/20220919/13825_bb2c663e/index.m3u8
威士忌、探戈、狐步舞(美国战争片),https://vip.lz-cdn3.com/20220916/13635_2f1f80ea/index.m3u8
国王的选择(挪威/瑞典/丹麦/爱尔兰战争片),https://vip.lz-cdn3.com/20220915/13536_9220fe66/index.m3u8
铁皮鼓(西德/波兰/法国/南斯拉夫战争片),https://vip.lz15uu.com/20220914/94_ccc1fdfa/index.m3u8
亡命雷区(美国战争片),https://vip.lz-cdn3.com/20220914/13384_47f251cc/index.m3u8
想念哥哥(韩国战争片),https://vip.lz-cdn3.com/20220913/13276_a41dd956/index.m3u8
例外(英国战争片),https://vip.lz-cdn3.com/20220912/13229_a36eeef6/index.m3u8
比利·林恩的中场战事(美国战争片),https://vip.lz-cdn3.com/20220911/13188_42f78b0e/index.m3u8
雅多维尔围城战(爱尔兰/南非战争片),https://vip.lz-cdn3.com/20220910/13102_d27f512c/index.m3u8
斯大林格勒【原声】(俄罗斯战争片),https://vip1.lz-cdn.com/20220908/32099_91140917/index.m3u8
斯大林格勒【国语】(俄罗斯战争片),https://vip1.lz-cdn.com/20220908/32098_7ec28390/index.m3u8
瓦尔特保卫萨拉热窝1972(南斯拉夫战争片),https://vip1.lz-cdn.com/20220907/32072_363bd4ac/index.m3u8
仁川登陆作战【英语】(韩国战争片),https://vip.lz-cdn3.com/20220908/12979_e3690104/index.m3u8
仁川登陆作战【国语】(韩国战争片),https://vip.lz-cdn3.com/20220908/12974_b25b19ab/index.m3u8
战争天堂(俄罗斯战争片),https://vip.lz-cdn3.com/20220908/12951_6715987b/index.m3u8
锅盖头3：绝地反击(美国战争片),https://vip.lz-cdn3.com/20220907/12894_bb06da34/index.m3u8
芬妮的旅程(法国战争片),https://vip.lz-cdn3.com/20220907/12889_c4d04df8/index.m3u8
闲山：龙的出现(韩国战争片),https://vip1.lz-cdn7.com/20220906/10750_6aabf8cf/index.m3u8
国境线2017(大陆战争片),https://vip.lz-cdn3.com/20220904/12678_d66fd983/index.m3u8
生死之墙(美国战争片),https://vip.lz-cdn3.com/20220902/12529_7bfe1cc7/index.m3u8
兰开斯特的天空(英国战争片),https://vip.lz-cdn3.com/20220902/12505_8e8a7aa7/index.m3u8
大作战(美国战争片),https://vip.lz-cdn3.com/20220831/12418_80eafcd5/index.m3u8
凤梧洞战斗(韩国战争片),https://vip.lz-cdn3.com/20220828/12182_a24f60fd/index.m3u8
杀戮部队(美国战争片),https://vip.lz-cdn3.com/20220828/12165_db035aa9/index.m3u8
那一天的管风琴(日本战争片),https://vip.lz-cdn3.com/20220828/12155_542a4cda/index.m3u8
贞德(法国战争片),https://vip.lz-cdn3.com/20220826/12027_6e66f069/index.m3u8
艾拉(土耳其/韩国战争片),https://vip.lz-cdn3.com/20220822/11889_cb15e2fd/index.m3u8
霍姆斯之雨(叙利亚战争片),https://vip.lz-cdn3.com/20220821/11870_f70ea2fa/index.m3u8
最后一个音符(希腊战争片),https://vip.lz-cdn3.com/20220822/11900_eda719fe/index.m3u8
喀秋莎行动(俄罗斯战争片),https://vip1.lz-cdn1.com/20220820/14876_ee3b8aec/index.m3u8
隐形同盟(德国战争片),https://vip.lz-cdn3.com/20220820/11796_55e60957/index.m3u8
维克雷提(波兰战争片),https://vip.lz-cdn3.com/20220818/11649_e1ef0851/index.m3u8
战争机器(美国战争片),https://vip.lz-cdn3.com/20220817/11636_a18a7970/index.m3u8
鱼雷2019(比利时/英国/德国战争片),https://vip.lz-cdn3.com/20220817/11616_e2592e9d/index.m3u8
代立军(韩国战争片),https://vip.lz-cdn3.com/20220817/11592_69d5367b/index.m3u8
旅程终点2017(英国战争片),https://vip.lz-cdn3.com/20220816/11551_1eb3096c/index.m3u8
南汉山城(韩国战争片),https://vip.lz-cdn3.com/20220816/11542_ddc93fe9/index.m3u8
无名战士2017(芬兰/比利时/冰岛战争片),https://vip.lz-cdn3.com/20220816/11521_a0b87bea/index.m3u8
一袋弹子(法国战争片),https://vip.lz-cdn3.com/20220815/11484_e0871d20/index.m3u8
至暗时刻(英国战争片),https://vip.lz-cdn3.com/20220815/11478_90c9a3c7/index.m3u8
第十二个人2017(挪威战争片),https://vip.lz-cdn3.com/20220815/11445_ee65ad7c/index.m3u8
狐步舞2017(以色列/瑞士/德国/法国战争片),https://vip.lz-cdn3.com/20220814/11426_12aabfc7/index.m3u8
战争未了(西班牙战争片),https://vip.lz-cdn3.com/20220812/11266_c723a5ea/index.m3u8
冒牌上尉2017(德国/波兰/法国战争片),https://vip.lz-cdn3.com/20220811/11234_3e479cc8/index.m3u8
我的上高(大陆战争片),https://vip.lz-cdn3.com/20220811/11176_0fafb57a/index.m3u8
长津湖(大陆战争片),https://vip1.lz-cdn6.com/20220810/21437_e2632c6d/index.m3u8
异域之末路英雄【粤语】(台湾战争片),https://vip1.lz-cdn6.com/20220810/21433_12e53d24/index.m3u8
异域之末路英雄【国语】(台湾战争片),https://vip1.lz-cdn6.com/20220810/21432_a5a7236f/index.m3u8
小野田的丛林万夜(法国战争片),https://vip1.lz-cdn10.com/20220809/2200_a0fee86c/index.m3u8
托米莉斯女王(哈萨克斯坦战争片),https://vip.lz-cdn3.com/20220808/10969_a7d9d240/index.m3u8
云霄之上(大陆战争片),https://vip1.lz-cdn10.com/20220808/2182_5c285e99/index.m3u8
美利坚邦联(美国战争片),https://vip.lz-cdn3.com/20220806/10846_b861cedf/index.m3u8
黄金大逃狱【粤语】(大陆战争片),https://vip.lz-cdn3.com/20220805/10799_39f45bd1/index.m3u8
沙漠往事(俄罗斯战争片),https://vip.lz-cdn3.com/20220805/10798_27ea2dcc/index.m3u8
呼叫班德拉斯(乌克兰战争片),https://vip.lz-cdn3.com/20220803/10652_5fe1de09/index.m3u8
飓风行动2018(英国战争片),https://vip.lz-cdn3.com/20220802/10549_36ca95da/index.m3u8
失落的海峡2018(伊朗战争片),https://vip.lz-cdn3.com/20220802/10529_81857bc3/index.m3u8
私人战争2018(美国战争片),https://vip.lz-cdn3.com/20220801/10517_89f249ab/index.m3u8
太阳之女(法国战争片),https://vip.lz-cdn3.com/20220801/10512_33c3e63a/index.m3u8
顿巴斯营在二〇一四年的伊洛瓦里安2019(乌克兰战争片),https://vip.lz-cdn3.com/20220801/10467_eef93ba8/index.m3u8
血战摩苏尔(美国战争片),https://vip.lz-cdn3.com/20220801/10452_ae541d65/index.m3u8
拿破仑1927(法国战争片),https://vip.lzcdn2.com/20220528/7866_142c6096/index.m3u8
狙击手·白乌鸦2022(乌克兰战争片),https://vip.lz-cdn3.com/20220731/10412_67041949/index.m3u8
渗透2022(俄罗斯战争片),https://vip.lz-cdn3.com/20220731/10407_f372cc5f/index.m3u8
巴尔干边界(俄罗斯战争片),https://vip.lz-cdn3.com/20220731/10378_eb9b2a49/index.m3u8
锅盖头4：回归法制(美国战争片),https://vip.lz-cdn3.com/20220730/10364_41874d53/index.m3u8
勒热夫战役(俄罗斯战争片),https://vip.lz-cdn3.com/20220730/10335_41d07e1e/index.m3u8
王者天下2019(日本战争片),https://vip.lz-cdn3.com/20220729/10283_076bd4a2/index.m3u8
和平(美国战争片),https://vip.lz-cdn3.com/20220728/10229_06a09526/index.m3u8
十二勇士(美国战争片),https://vip.lz-cdn3.com/20220728/10202_36c1529d/index.m3u8
冰海陷落(英国战争片),https://vip.lz-cdn3.com/20220728/10196_c625a63c/index.m3u8
大轰炸(大陆战争片),https://vip.lz-cdn3.com/20220727/10192_19ef438c/index.m3u8
霸主(美国战争片),https://vip.lz-cdn3.com/20220726/10081_3cfb6e56/index.m3u8
不朽的走廊(俄罗斯战争片),https://vip.lz-cdn3.com/20220724/9964_90b339b2/index.m3u8
余波2019(英国战争片),https://vip.lz-cdn3.com/20220723/9921_3199798b/index.m3u8
高个儿(俄罗斯战争片),https://vip.lz-cdn3.com/20220722/9868_53cb9f78/index.m3u8
等待安雅(英国战争片),https://vip.lz-cdn3.com/20220721/9757_e867c777/index.m3u8
温德米尔儿童(英国战争片),https://vip.lz-cdn3.com/20220721/9737_4959e4ea/index.m3u8
八百彪兵奔北坡(大陆战争片),https://vip.lz-cdn3.com/20220720/9712_ab67121c/index.m3u8
转移者2018(拉脱维亚战争片),https://vip1.lz-cdn10.com/20220718/2048_8be62ef2/index.m3u8
狙击手2020(大陆战争片),https://vip.lz-cdn3.com/20220719/9676_c01757ad/index.m3u8
塔纳吉：无名勇士(印度战争片),https://vip.lz-cdn3.com/20220719/9667_a99b863b/index.m3u8
雪豹之虎啸军魂(大陆战争片),https://vip.lz-cdn3.com/20220718/9587_aaaa962f/index.m3u8
誓血五人组(美国战争片),https://vip.lz-cdn3.com/20220717/9544_888469f3/index.m3u8
捐躯2018(土耳其战争片),https://vip.lz-cdn3.com/20220717/9525_e3bf388b/index.m3u8
东线无归途(英国战争片),https://vip.lz-cdn3.com/20220716/9477_5ccaf33e/index.m3u8
奇袭地道战(大陆战争片),https://vip.lz-cdn3.com/20220714/9293_1b092ea9/index.m3u8
太阳之子2020(日本战争片),https://vip.lz-cdn3.com/20220713/9271_9adf9f52/index.m3u8
最后一搏2019(美国战争片),https://vip.lz-cdn3.com/20220710/9125_3fe9131c/index.m3u8
伊万·杰尼索维奇(俄罗斯战争片),https://vip1.lz-cdn10.com/20220705/1989_889bdec8/index.m3u8
间谍之妻(日本战争片),https://vip.lz-cdn3.com/20220705/8785_6ea4446a/index.m3u8
来自亚塞诺瓦茨的达拉(塞尔维亚战争片),https://vip.lz-cdn3.com/20220703/8702_7dd02d88/index.m3u8
战地刑罚(英国战争片),https://vip.lz-cdn3.com/20220702/8620_35b8df48/index.m3u8
400发子弹(美国战争片),https://vip.lz-cdn3.com/20220629/8474_aae31b61/index.m3u8
亮剑：决战鬼哭谷(大陆战争片),https://vip.lzcdn2.com/20220628/14346_4700db36/index.m3u8
浴血无名川(大陆战争片),https://vip.lz-cdn3.com/20220628/8455_7ad6cbac/index.m3u8
红海行动(大陆战争片),https://vip1.lz-cdn6.com/20220616/15464_b2b75306/index.m3u8
飞行员(俄罗斯战争片),https://vip1.lz-cdn1.com/20220609/8313_0356d9fe/index.m3u8
绞肉行动(英国战争片),https://vip1.lz-cdn1.com/20220609/8302_5ff5db51/index.m3u8
东北狙王决战虎牙山(大陆战争片),https://vip1.lz-cdn10.com/20220525/1586_a842d797/index.m3u8
安市城(韩国战争片),https://vip1.lz-cdn1.com/20220606/7422_09c7b19c/index.m3u8
摇摆狂潮2018(韩国战争片),https://vip.lzcdn2.com/20220605/8505_1f4341f1/index.m3u8
长沙里：被遗忘的英雄们(韩国战争片),https://vip.lzcdn2.com/20220605/8492_934d6469/index.m3u8
芝瑟(韩国战争片),https://vip.lzcdn2.com/20220605/8490_0e04321a/index.m3u8
硫磺岛的来信(美国战争片),https://vip1.lz-cdn1.com/20220604/7354_546b1670/index.m3u8
联合舰队(日本战争片),https://vip1.lz-cdn1.com/20220604/7348_45ce7f28/index.m3u8
亚里安(日本战争片),https://vip.lzcdn2.com/20220604/8398_2d9bf985/index.m3u8
阿基米德大战(日本战争片),https://vip.lzcdn2.com/20220603/8377_9899079c/index.m3u8
安纳塔汉(日本战争片),https://vip1.lz-cdn1.com/20220603/7288_5ff96d47/index.m3u8
血战冲绳岛(日本战争片),https://vip.lzcdn2.com/20220602/8209_33823b53/index.m3u8
最后的前线2020(俄罗斯战争片),https://vip.lzcdn2.com/20220601/8110_9688b9c4/index.m3u8
卡拉什尼科夫(俄罗斯战争片),https://vip1.lz-cdn1.com/20220601/7196_cbca1227/index.m3u8
老枪(法国战争片),https://vip1.lz-cdn1.com/20220531/7184_358c3b8a/index.m3u8
大清炮队(大陆战争片),https://vip1.lz-cdn1.com/20220531/7173_7859baff/index.m3u8
卡贾基(英国战争片),https://vip1.lz-cdn1.com/20220531/7167_1f9a9398/index.m3u8
长津湖之水门桥(大陆战争片),https://vip1.lz-cdn1.com/20220531/7059_b8f5db9f/index.m3u8
大街上的商店(捷克斯洛伐克战争片),https://vip1.lz-cdn1.com/20220531/7029_c0e07634/index.m3u8
桂河大桥(英国战争片),https://vip.lzcdn2.com/20220530/8073_7e12a4b0/index.m3u8
灰猎犬号(美国战争片),https://vip.lzcdn2.com/20220530/8005_c85c42cd/index.m3u8
野战排(美国战争片),https://vip.lzcdn2.com/20220530/7955_fc3a1b7d/index.m3u8
华沙之战1920(波兰战争片),https://vip.lzcdn2.com/20220530/7922_ba29a989/index.m3u8
醉马时刻(伊朗战争片),https://vip.lzcdn2.com/20220530/7909_91f59652/index.m3u8
偷桃贼(保加利亚战争片),https://vip1.lz-cdn1.com/20220529/6991_fae3daae/index.m3u8
战马2011(美国战争片),https://vip1.lz-cdn1.com/20220529/6951_22aa0b1d/index.m3u8
战舰波将金号1925(苏联战争片),https://vip1.lz-cdn1.com/20220529/6943_22d99b70/index.m3u8
罗马,不设防的城市(意大利战争片),https://vip1.lz-cdn1.com/20220529/6937_222b2eb5/index.m3u8
伯德街小岛(丹麦/英国/德国战争片),https://vip1.lz-cdn1.com/20220529/6924_b5796a88/index.m3u8
地下1995(南斯拉夫/法国/德国/保加利亚/捷克/匈牙利/英国/美国战争片),https://vip1.lz-cdn1.com/20220529/6898_4d421bc4/index.m3u8
被涂污的鸟(捷克/斯洛伐克/乌克兰战争片),https://vip1.lz-cdn1.com/20220529/6886_ec79d625/index.m3u8
细细的红线1998(美国战争片),https://vip.lzcdn2.com/20220528/7748_39cde4c8/index.m3u8
亚洲风暴(苏联战争片),https://vip.lzcdn2.com/20220528/7740_dec26797/index.m3u8
影武者1980(日本战争片),https://vip.lzcdn2.com/20220528/7730_7d5d3580/index.m3u8
战场上的快乐圣诞(英国战争片),https://vip.lzcdn2.com/20220528/7729_712cc6db/index.m3u8
革命往事1971(意大利战争片),https://vip1.lz-cdn1.com/20220527/6821_ed42eb61/index.m3u8
刺杀盖世太保(法国战争片),https://vip1.lz-cdn1.com/20220527/6791_c546218b/index.m3u8
西线无战事1930(美国战争片),https://vip1.lz-cdn1.com/20220527/6744_b28a0793/index.m3u8
五月八月(香港战争片),https://vip.lzcdn2.com/20220525/7709_58e791cf/index.m3u8
烽火少年1975(大陆战争片),https://vip.lzcdn2.com/20220525/7644_79a26c4d/index.m3u8
德意志零年1948(意大利/法国/德国战争片),https://vip.lzcdn2.com/20220525/7567_f96cf7f1/index.m3u8
象棋的故事(德国/奥地利战争片),https://vip1.lz-cdn10.com/20220426/1548_8638953e/index.m3u8
奥斯维辛集中营的守卫(英国战争片),https://vip1.lz-cdn10.com/20220426/1521_cfb7d61f/index.m3u8
镜子1975(苏联战争片),https://vip.lzcdn2.com/20220525/7524_4aeab957/index.m3u8
从海底出击(西德战争片),https://vip1.lz-cdn1.com/20220524/6675_ce050673/index.m3u8
类人猿行动(捷克/英国/美国/法国战争片),https://vip1.lz-cdn1.com/20220524/6663_d2d820f5/index.m3u8
蝴蝶的舌头(西班牙战争片),https://vip1.lz-cdn1.com/20220524/6601_ddc53d54/index.m3u8
浩劫上集1985(法国战争片),https://vip1.lz-cdn1.com/20220524/6595_79d593ed/index.m3u8
浩劫下集1985(法国战争片),https://vip1.lz-cdn1.com/20220524/6598_50501f89/index.m3u8
光荣之路1957(美国战争片),https://vip1.lz-cdn1.com/20220524/6589_5921f9df/index.m3u8
第七颗子弹(苏联战争片),https://vip1.lz-cdn1.com/20220524/6588_907bf21b/index.m3u8
敌后武工队1995(大陆战争片),https://vip1.lz-cdn1.com/20220524/6567_066cb7c5/index.m3u8
下水道1957(波兰战争片),https://vip.lzcdn2.com/20220523/7438_9c0556a6/index.m3u8
伊万的童年(苏联战争片),https://vip.lzcdn2.com/20220523/7431_1e2b07c2/index.m3u8
再见,孩子们(法国战争片),https://vip.lzcdn2.com/20220523/7430_6f3c3367/index.m3u8
羞耻1968(瑞典战争片),https://vip.lzcdn2.com/20220523/7409_726d823e/index.m3u8
雨月物语(日本战争片),https://vip.lzcdn2.com/20220523/7407_4ec67bb0/index.m3u8
兰陵王(大陆战争片),https://vip.lzcdn2.com/20220523/7360_66937286/index.m3u8
日本最长的一天1967(日本战争片),https://vip1.lz-cdn1.com/20220522/6466_ee247f95/index.m3u8
一飞冲天1952(英国战争片),https://vip1.lz-cdn1.com/20220522/6453_9f9b69cf/index.m3u8
日瓦戈医生(美国战争片),https://vip1.lz-cdn1.com/20220522/6428_c34c82ef/index.m3u8
平安夜2002(加拿大战争片),https://vip1.lz-cdn1.com/20220522/6427_0291c156/index.m3u8
狼牙山五壮士(大陆战争片),https://vip1.lz-cdn1.com/20220522/6295_7530346c/index.m3u8
死战传说(日本战争片),https://vip.lzcdn2.com/20220521/7308_b509a523/index.m3u8
昨日之敌(英国战争片),https://vip.lzcdn2.com/20220521/7299_5f6231a8/index.m3u8
宛城之战(大陆战争片),https://vip.lzcdn2.com/20220521/7276_5a114449/index.m3u8
夏日国度(英国战争片),https://vip.lzcdn2.com/20220521/7126_a261f8be/index.m3u8
土地与自由(英国战争片),https://vip.lzcdn2.com/20220521/7135_6b936409/index.m3u8
亨利五世(英国战争片),https://vip.lzcdn2.com/20220521/7182_fa546493/index.m3u8
破晓徂徕山(大陆战争片),https://vip.lzcdn2.com/20220520/7014_8acdbedc/index.m3u8
迫降乌江(大陆战争片),https://vip.lzcdn2.com/20220520/7013_5f0b0761/index.m3u8
现代启示录(美国战争片),https://vip.lzcdn2.com/20220519/6992_3b4a9377/index.m3u8
小兵张嘎1963(大陆战争片),https://vip.lzcdn2.com/20220519/6990_5a3e1044/index.m3u8
血海狂鹰(美国战争片),https://vip.lzcdn2.com/20220519/6988_3540e4e7/index.m3u8
奇袭1960(大陆战争片),https://vip.lzcdn2.com/20220519/6968_6cd65858/index.m3u8
马耳他攻防线(英国战争片),https://vip.lzcdn2.com/20220519/6959_c018772f/index.m3u8
八二三炮战(台湾战争片),https://vip.lzcdn2.com/20220519/6907_b3e9984c/index.m3u8
红粉间谍(英国战争片),https://vip.lzcdn2.com/20220519/6940_4ca4cb20/index.m3u8
高地战(韩国战争片),https://vip.lzcdn2.com/20220519/6900_d0eb853f/index.m3u8
董存瑞(大陆战争片),https://vip.lzcdn2.com/20220519/6938_42314af2/index.m3u8
独立愚连队(日本战争片),https://vip.lzcdn2.com/20220519/6934_4001c385/index.m3u8
怒海争锋(美国战争片),https://vip.lzcdn2.com/20220519/6921_714923c4/index.m3u8
忠勇之家(美国战争片),https://vip.lzcdn2.com/20220519/6865_88b029d0/index.m3u8
血战桥头堡(美国战争片),https://vip.lzcdn2.com/20220519/6857_e1256ac3/index.m3u8
红衣主教上(美国战争片),https://vip.lzcdn2.com/20220519/6809_8964bcd3/index.m3u8
红衣主教下(美国战争片),https://vip.lzcdn2.com/20220519/6813_5448c68c/index.m3u8
大君主(英国战争片),https://vip.lzcdn2.com/20220519/6799_210b150c/index.m3u8
大决战之辽沈战役(大陆战争片),https://vip.lzcdn2.com/20220519/6798_9666d862/index.m3u8
大决战之平津战役(大陆战争片),https://vip1.lz-cdn1.com/20220518/6085_3a77d916/index.m3u8
大决战之淮海战役(大陆战争片),https://vip1.lz-cdn1.com/20220518/6084_d0221890/index.m3u8
战俘计划(俄罗斯战争片),https://vip1.lz-cdn1.com/20220518/6143_54e9d4ac/index.m3u8
笛吹川(日本战争片),https://vip1.lz-cdn1.com/20220518/6072_b8ff4d07/index.m3u8
凡尔登,历史的幻影(法国战争片),https://vip1.lz-cdn1.com/20220518/6062_69c7c92d/index.m3u8
海外特派员(美国战争片),https://vip1.lz-cdn1.com/20220518/6056_b5b1532b/index.m3u8
红军与白军(匈牙利/苏联战争片),https://vip1.lz-cdn1.com/20220518/6052_b7a8f695/index.m3u8
虎！虎！虎！(日本战争片),https://vip1.lz-cdn1.com/20220518/6049_f163a519/index.m3u8
日为吾兄月为吾妹(意大利/英国战争片),https://vip1.lz-cdn1.com/20220518/6028_00f6feac/index.m3u8
奇幻核子战(美国战争片),https://vip1.lz-cdn1.com/20220518/6022_05531f72/index.m3u8
我的归乡路(匈牙利战争片),https://vip1.lz-cdn1.com/20220518/5992_eedf8b0d/index.m3u8
无望的人们(匈牙利战争片),https://vip1.lz-cdn1.com/20220518/5991_db9b8fdd/index.m3u8
碧血蓝勋(英国战争片),https://vip.lzcdn2.com/20220517/6721_7ba1f94f/index.m3u8
白色战争(韩国战争片),https://vip.lzcdn2.com/20220517/6717_33d395fd/index.m3u8
春色一箩筐(美国战争片),https://vip.lzcdn2.com/20220517/6714_d00b5753/index.m3u8
俄宫秘史(英国战争片),https://vip.lzcdn2.com/20220517/6699_2b95b852/index.m3u8
圣女贞德1999(法国战争片),https://vip.lzcdn2.com/20220517/6653_05dcc394/index.m3u8
太白山脉(韩国战争片),https://vip.lzcdn2.com/20220517/6645_911defe9/index.m3u8
我住的房子1957(苏联战争片),https://vip.lzcdn2.com/20220517/6633_9dd44889/index.m3u8
战争的声音(日本战争片),https://vip.lzcdn2.com/20220517/6599_057657c4/index.m3u8
上升1977(苏联战争片),https://vip1.lz-cdn1.com/20220516/5901_4a51828d/index.m3u8
圣女贞德的审判(法国战争片),https://vip1.lz-cdn1.com/20220516/5845_3ac00b40/index.m3u8
上级命令(美国战争片),https://vip1.lz-cdn1.com/20220516/5841_c4eaca51/index.m3u8
战火(意大利战争片),https://vip1.lz-cdn1.com/20220516/5778_fa380fe8/index.m3u8
兵临城下·虎贲(大陆战争片),https://vip1.lz-cdn1.com/20220515/5682_c53093bf/index.m3u8
开罗谍报战(美国战争片),https://vip1.lz-cdn1.com/20220514/5532_0b5bca33/index.m3u8
红巴山(大陆战争片),https://vip1.lz-cdn1.com/20220513/5452_0b933598/index.m3u8
茶缘(大陆战争片),https://vip1.lz-cdn1.com/20220513/5443_a0932598/index.m3u8
我控诉1919(法国战争片),https://vip.lzcdn2.com/20220513/6259_612d518e/index.m3u8
战火实录(英国战争片),https://vip.lzcdn2.com/20220513/6241_44941f52/index.m3u8
他们已不再变老(英国战争片),https://vip1.lz-cdn1.com/20220512/5383_8e47f2fd/index.m3u8
勇者行动(美国战争片),https://vip1.lz-cdn1.com/20220512/5393_7a482964/index.m3u8
美国狙击手(美国战争片),https://vip1.lz-cdn1.com/20220512/5401_65acc99b/index.m3u8
冷山2003(英国战争片),https://vip1.lz-cdn1.com/20220512/5410_f8d51cad/index.m3u8
大地儿女【国语】(香港战争片),https://vip1.lz-cdn1.com/20220512/5344_8e5cc8a4/index.m3u8
秋收起义(大陆战争片),https://vip1.lz-cdn1.com/20220512/5296_a250ff76/index.m3u8
前哨(保加利亚/美国战争片),https://vip.lzcdn2.com/20220511/6192_aafe47fb/index.m3u8
兵临城下(爱尔兰/英国/法国/德国/美国战争片),https://vip.lzcdn2.com/20220511/6204_8f60d2ea/index.m3u8
太阳帝国(美国战争片),https://vip.lzcdn2.com/20220511/6083_dafa85c0/index.m3u8
巴顿将军(美国战争片),https://vip1.lz-cdn1.com/20220510/5219_cd544fcc/index.m3u8
特别有种：致命行动(大陆战争片),https://vip1.lz-cdn1.com/20220510/5192_f13ee0c7/index.m3u8
坚守1200秒(大陆战争片),https://vip1.lz-cdn1.com/20220510/5169_23a15787/index.m3u8
维和冲锋：绝境求生(大陆战争片),https://vip1.lz-cdn1.com/20220510/5200_a5f93873/index.m3u8
捍战(大陆战争片),https://vip1.lz-cdn1.com/20220510/5163_44242d2e/index.m3u8
英雄连2020(大陆战争片),https://vip1.lz-cdn1.com/20220510/5208_ddb14890/index.m3u8
东溪突击(大陆战争片),https://vip1.lz-cdn1.com/20220510/5158_bc0ded71/index.m3u8
旗正飘飘【国语】(香港战争片),https://vip1.lz-cdn1.com/20220510/5091_fd697a89/index.m3u8
黑暗弥漫(战争片),https://vip1.lz-cdn1.com/20220510/5130_0928cbb1/index.m3u8
北斗七星(战争片),https://vip1.lz-cdn1.com/20220510/5038_9522cb30/index.m3u8
大幻影(法国战争片),https://vip1.lz-cdn1.com/20220510/5030_3109a8f8/index.m3u8
金刚川(大陆战争片),https://vip1.lz-cdn1.com/20220509/4941_1d399fb0/index.m3u8
八佰(大陆战争片),https://vip1.lz-cdn1.com/20220509/4926_22768c56/index.m3u8
娜巴特(阿塞拜疆战争片),https://vip.lzcdn2.com/20220509/5994_6764420d/index.m3u8
天狗党(日本战争片),https://vip.lzcdn2.com/20220509/5956_f1711a2a/index.m3u8
红星照耀中国2019(大陆战争片),https://vip.lzcdn2.com/20220509/5909_35aed1de/index.m3u8
红色圩场(大陆战争片),https://vip.lzcdn2.com/20220509/5908_15bb4559/index.m3u8
打过长江去(大陆战争片),https://vip1.lz-cdn1.com/20220508/4715_f08a3030/index.m3u8
浴血反击(大陆战争片),https://vip.lzcdn2.com/20220507/5884_96b34b5c/index.m3u8
小戏骨：洪湖赤卫队(大陆战争片),https://vip1.lz-cdn6.com/20220507/8223_d4ab6995/index.m3u8
解放·终局营救(大陆战争片),https://vip.lzcdn2.com/20220507/5830_06b02ae1/index.m3u8
八子(大陆战争片),https://vip.lzcdn2.com/20220507/5821_2289e425/index.m3u8
法尔什家族(法国战争片),https://vip1.lz-cdn1.com/20220506/4687_469bcfe8/index.m3u8
长岛(大陆战争片),https://vip1.lz-cdn1.com/20220506/4651_717e7edc/index.m3u8
暗剑(大陆战争片),https://vip1.lz-cdn1.com/20220506/4565_bc9fb5a1/index.m3u8
夜之钻(捷克斯洛伐克战争片),https://vip1.lz-cdn1.com/20220506/4513_ab008ca2/index.m3u8
